fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
109,train,593.5358276367188,3,0.017834048672735532,0.1727879059932795,0.027408030878468055,0.14615895849489496,0.9906542056074766
110,train,1109.789306640625,3,0.030489607527500948,0.15827029998218098,0.02133146892478984,0.11006592844749535,0.9345794392523364
111,train,1689.3712158203125,3,0.028946335200292748,0.170959908234033,0.026529403922455064,0.1277992767518079,0.9532710280373832
112,train,1614.641357421875,3,0.009830243325349737,0.15566609151276198,0.021531129898573052,0.10962473335026188,0.9719626168224299
113,train,1325.7431640625,3,0.01440336972665049,0.03832957262112833,0.020731911973253612,0.10604139104641201,0.9532710280373832
114,train,1204.5928955078125,3,0.04142708323134785,0.098271837010806,0.022328205926915617,0.10885424208809855,0.9158878504672897
115,train,1505.382080078125,3,0.023944687537087533,0.10716881657151381,0.02857039697116531,0.15247725886897273,0.9906542056074766
116,train,1124.5732421875,3,0.02414974657199401,0.12470429412786008,0.02567805760740635,0.15305605251339857,1.0
117,test,1768.4735107421875,3,0.035807448464966155,0.057860970527463376,0.023753090901140517,0.1086692405817378,0.9813084112149533
118,train,1382.2154541015625,3,0.011761585625557848,0.26946598706764385,0.025392747389124563,0.12714491586793153,0.9532710280373832
119,train,1734.9556884765625,3,0.02942985664938091,0.07379369149595486,0.02002857492499382,0.09434012065424432,0.9439252336448598
120,test,1203.8758544921875,3,0.017639834337128596,0.1825652565119987,0.02249093755531898,0.12332603752691272,0.9813084112149533
121,train,1709.805419921875,3,0.022396479298814206,0.24855641360388817,0.023783539811543672,0.12322744548872243,0.9345794392523364
122,train,2147.648193359375,3,0.02648840096538938,0.12226511789291385,0.02894231553312556,0.151155640504868,0.9252336448598131
123,train,1371.29150390625,3,0.05227854940224579,0.0508044694765686,0.021473425831122085,0.09095539901321371,0.897196261682243
124,test,1547.329833984375,3,0.02804624867235439,0.09610673068779453,0.0232194142121974,0.13312629573850726,0.9813084112149533
125,test,2496.159912109375,3,0.009402494030436696,0.18908678896581552,0.023482208698300675,0.12929202492095582,0.9719626168224299
126,train,1815.2891845703125,3,0.034024934691384574,0.15533125359735253,0.028760223448948838,0.14140386083177428,0.9813084112149533
127,train,2626.44677734375,3,0.031114379657012785,0.2550489261157093,0.0274136716109335,0.13832758558957145,0.9532710280373832
128,train,111.65299987792969,3,0.019125941402201842,0.05192605251105273,0.02446897268128973,0.13839458173390343,0.9813084112149533
129,train,1575.0147705078125,3,0.03657873720008787,0.04301336470581717,0.028840279030667885,0.13092714401580371,0.9626168224299065
130,train,955.9124755859375,3,0.018828717416844717,0.04668851992934776,0.021652273829918217,0.10538007847989588,0.9345794392523364
131,test,653.3704223632812,3,0.018521695130146218,0.1831178875948609,0.02483389584842679,0.13552265855991252,0.9813084112149533
132,train,875.8472900390625,3,0.016061609946335223,0.07127901088159842,0.028063117789304214,0.1464135385145188,0.9813084112149533
133,train,2379.533203125,3,0.018457047471515983,0.11473546737069151,0.02714935218679634,0.13735702043513748,0.9719626168224299
134,train,1296.545654296875,3,0.014717820503817505,0.09493622370000464,0.028219419550481673,0.16589363323450096,0.9719626168224299
135,train,1512.6195068359375,3,0.03352691214257151,0.14989477237343618,0.03045367429586676,0.14989504143283178,0.9532710280373832
136,train,1827.1636962890625,3,0.024529122351055952,0.11313293100449753,0.026460261412412246,0.16422597718035464,0.9719626168224299
137,train,2627.72509765625,3,0.003152156276468002,0.11676598313388528,0.023687956027731865,0.1346176501947156,0.9158878504672897
138,train,2309.68701171875,3,0.0036808154120929453,0.18539781521944784,0.02370778701538535,0.12322827515688219,0.9439252336448598
139,train,1161.4691162109375,3,0.048628713749350815,0.0749542925733874,0.023400569780248626,0.10399466379745227,0.9439252336448598
140,train,572.8842163085938,3,0.03204920478495131,0.22119692276871264,0.026640821303693874,0.10756624569604774,0.9439252336448598
141,train,2603.579833984375,3,0.01903635321807218,0.20063974235918974,0.024584549929628045,0.11317697928889418,0.9345794392523364
142,train,388.6134033203125,3,0.07288836289766734,0.0904666198636129,0.026406511235164114,0.11677809791788764,0.9252336448598131
143,test,2006.3541259765625,3,0.055656256916743425,0.1623382018084988,0.02377192665682597,0.13103488586181,0.9813084112149533
144,train,291.9921875,3,0.015282405121886361,0.17541809410576953,0.02034049424063662,0.12401290685990879,0.9719626168224299
145,train,2357.44921875,3,0.01617492228232883,0.22473616187510864,0.026246441155467683,0.1878836285424276,0.9626168224299065
146,test,2548.1279296875,3,0.07349987698347007,0.22870237945444505,0.03293692040619867,0.17523009148964896,0.9906542056074766
147,train,1197.8768310546875,3,0.03576186544694086,0.22717805917089465,0.021939062020048323,0.1204325830087673,0.9532710280373832
148,train,1679.9610595703125,3,0.02300399998557115,0.14484630832685344,0.021654825771345875,0.09794434522674977,0.9065420560747663
149,test,1258.9620361328125,3,0.050725430282759894,0.04220691578266781,0.023514672108137395,0.11063419525023505,0.9345794392523364
150,test,782.1447143554688,3,0.07267706208014085,0.32302377569825486,0.024354052931407567,0.10735437488807432,0.9252336448598131
151,train,955.7509765625,3,0.03226413641801201,0.17472331190504622,0.025373658695892972,0.14212766034827473,0.9813084112149533
152,val,1484.3035888671875,3,0.014443514402008377,0.14401869427890354,0.0275586736752872,0.13292297339187706,0.9626168224299065
153,train,1151.9578857421875,3,0.013255770093113883,0.06303148918325781,0.0314453817994916,0.164142042358733,0.9532710280373832
154,train,765.627197265625,3,0.017071084527788948,0.14135387064936464,0.03046579009276228,0.13086212975367856,0.9158878504672897
155,test,1736.22900390625,3,0.0029276667343512888,0.18049881041266172,0.022995573509995697,0.11926811186454292,0.9439252336448598
156,test,269.7756042480469,3,0.016416121397433366,0.27127846433181924,0.03016579419259496,0.17001633452459117,0.9719626168224299
157,train,863.1298217773438,3,0.021605223409268168,0.2824819760004892,0.02684007559987236,0.14446124867784543,0.9439252336448598
158,train,959.783203125,3,0.03728205754571446,0.13345486545007404,0.02667841700592003,0.11353488648152327,0.9158878504672897
159,test,1491.3646240234375,3,0.008611047344965823,0.08276178175760376,0.018481848696242392,0.10110737199569043,0.9626168224299065
160,test,1208.0384521484375,3,0.039912216457120085,0.147188145141069,0.022444656969026217,0.09861544719460641,0.9065420560747663
161,test,1670.337158203125,3,0.07798223801008362,0.19230326203399203,0.025705588765810555,0.11671010469395761,0.9439252336448598
162,train,1212.221435546875,3,0.006370866215410008,0.09097188410800956,0.03392057773393764,0.1650828311276945,0.9532710280373832
163,train,1329.7095947265625,3,0.02176897921746091,0.33115733868010794,0.025598006591095134,0.11416066998852399,0.9439252336448598
164,test,878.911376953125,3,0.0529005973660685,0.09823205056598888,0.026230824105475167,0.11144755069223544,0.9158878504672897
165,train,975.4146728515625,3,0.014749778016135903,0.2070212500623458,0.028109284783931623,0.13641881735074154,0.9813084112149533
166,train,1168.7872314453125,3,0.017008553126113077,0.12700757541949842,0.022526031289126388,0.1390883973889421,0.9813084112149533
167,train,1386.3277587890625,3,0.015787619087444436,0.1463711873998575,0.023886478309653996,0.12465025274024419,0.9813084112149533
168,train,938.9636840820312,3,0.06882251707979614,0.09779588969589097,0.021739610282217704,0.09838653733213687,0.9626168224299065
169,train,1323.025146484375,3,0.012801874010737544,0.09214639362534675,0.029273348325202994,0.13149358158624874,0.9626168224299065
170,val,1555.2490234375,3,0.0679553467539876,0.2888025729645227,0.028145195276597194,0.12825015754588584,0.9158878504672897
171,train,1623.3685302734375,3,0.11013255651811305,0.3081722473974393,0.026744657281132116,0.13973155033473766,0.9345794392523364
172,train,1228.25634765625,3,0.0120782070884521,0.11299483773172506,0.026656910235822593,0.13102252353889382,0.9813084112149533
173,train,1133.8199462890625,3,0.0033731048387351005,0.11638266736884148,0.025586122157801146,0.1254477511165198,0.9626168224299065
174,train,1515.3658447265625,3,0.03876413279669964,0.11699490466409448,0.022912674023217432,0.13412553452839668,0.9813084112149533
175,train,1143.6859130859375,3,0.04615100583958588,0.16229388105855183,0.023025691296936535,0.1060164715839665,0.9439252336448598
176,train,1782.2578125,3,0.08315189473310251,0.23267084876479724,0.02434313473519485,0.1303880930815999,0.9252336448598131
177,train,714.4227905273438,3,0.025393523895962413,0.22372384547574006,0.028068668980375903,0.13927983692335863,0.9345794392523364
178,train,800.8585815429688,3,0.02546387443088364,0.25424998184623343,0.026036645841690093,0.16171838234267405,0.9719626168224299
179,train,1251.49072265625,3,0.028510673467069248,0.13904014864062175,0.018788886188261928,0.11162080565790429,0.9626168224299065
180,test,316.5773010253906,3,0.05037378968473053,0.1279040246287673,0.026156716825408776,0.13580038453468946,0.9532710280373832
181,train,81.80229949951172,3,0.04189100808319504,0.24794918707125685,0.026040872394675414,0.16553131218673894,0.9532710280373832
182,val,133.2541961669922,3,0.07286324292637418,0.13335740931415577,0.032942940031199644,0.1809368359177421,0.9626168224299065
